product_name                                                                             ,name_ordered                   ,supplier_name ,total_packs_ordered ,pack_size ,pack_price ,PO_cost ,total_packs_received ,receipt_pack_price ,received_cost ,upc          ,store_id ,store_name ,product_id ,restock_order_id ,is_out_of_stock ,out_of_stock_reason
Oh Snap Pickle Bites - Hottie - 3.5 oz                                                   ,OH SNAP PICKLES BITES HOTTIE   ,Core-Mark     ,                  2 ,       12 ,     12.96 ,  25.92 ,                     ,                   ,              ,074329123399 ,       5 ,UofA       ,      2464 ,           14084 ,FALSE           ,
Lunchables - Extra Cheesy Pizza - 4.2 oz                                                 ,OM LNCHBL PIZZA CHSE           ,Core-Mark     ,                 16 ,        1 ,      2.9  ,  46.4  ,                     ,                   ,              ,044700024119 ,       5 ,UofA       ,      3123 ,           14084 ,FALSE           ,
Milano - Double Dark Chocolate - 7.5 oz                                                  ,P FARMS CKIE MILANO DBL CHOC   ,Core-Mark     ,                  1 ,       12 ,     51.72 ,  51.72 ,                     ,                   ,              ,014100074724 ,       5 ,UofA       ,       119 ,           14084 ,FALSE           ,
Goldfish - Cheddar - 2.65 oz                                                             ,P FARMS GOLDFISH CHED          ,Core-Mark     ,                  1 ,        8 ,      9.76 ,   9.76 ,                     ,                   ,              ,014100045526 ,       5 ,UofA       ,      3118 ,           14084 ,FALSE           ,
Goldfish - Flavor Blasted Xtra Cheddar - 2.45 oz                                         ,P FARMS GOLDFISH F BLST XT     ,Core-Mark     ,                  2 ,        8 ,      9.76 ,  19.52 ,                     ,                   ,              ,014100045557 ,       5 ,UofA       ,      3425 ,           14084 ,FALSE           ,
Pop Tarts - Frosted Brown Sugar Cinnamon - 2.0 count                                     ,POP TARTS FROST BRWN SGR CINN  ,Core-Mark     ,                  1 ,        6 ,      5.16 ,   5.16 ,                     ,                   ,              ,038000311314 ,       5 ,UofA       ,      3793 ,           14084 ,FALSE           ,
Pop Tarts - Strawberry - 2.0 count                                                       ,POP TARTS FROST STRAWBERRY     ,Core-Mark     ,                  1 ,        6 ,      4.92 ,   4.92 ,                     ,                   ,              ,038000317316 ,       5 ,UofA       ,      1821 ,           14084 ,FALSE           ,
Rice Krispies Treats - Original - 0.78 oz                                                ,RICE KRSP TRT BAR              ,Core-Mark     ,                  1 ,       20 ,     14.8  ,  14.8  ,                     ,                   ,              ,038000765414 ,       5 ,UofA       ,       722 ,           14084 ,FALSE           ,
Sabra Guac N Go - Guacamole - 4.56 oz                                                    ,SABRA GUACAMOLE GRAB & GO      ,Core-Mark     ,                  3 ,       12 ,     28.68 ,  86.04 ,                     ,                   ,              ,040822343893 ,       5 ,UofA       ,      1779 ,           14084 ,FALSE           ,
Sabra Hummus With Pretzels - Roasted Red Pepper - 4.56 oz                                ,SABRA HUMMUS RED PEPPR W/PRTZL ,Core-Mark     ,                  1 ,       12 ,     29.4  ,  29.4  ,                     ,                   ,              ,040822011969 ,       5 ,UofA       ,       171 ,           14084 ,FALSE           ,
