product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
Blue Diamond Almonds - Smokehouse - 4.0 oz,,Core-Mark,1,12,25.56,25.56,,,,041570099186,2,USC,3012,14030,false,
Brookside Dark Chocolate - Acai & Blueberry - 7.0 oz,,Core-Mark,1,12,45.24,45.24,,,,068437389716,2,USC,2369,14030,false,
Bugles - Original - 3.0 oz,,Core-Mark,1,6,10.86,10.86,,,,016000368309,2,USC,1761,14030,false,
Cheez It - Extra Toasty - 7.0 oz,,Core-Mark,2,6,15.54,31.08,,,,024100117925,2,USC,31,14030,false,
Cheez It - Original - 3.0 oz,,Core-Mark,2,6,7.38,14.76,,,,024100191345,2,USC,584,14030,false,
Cheez It - White Cheddar - 7.0 oz,,Core-Mark,1,12,227.04,227.04,,,,024100705719,2,USC,1699,14030,false,
Chobani Flip - Almond Coco Loco - 4.5 oz,,Core-Mark,1,12,21.6,21.6,,,,818290012289,2,USC,1763,14030,false,
Chobani Flip - Key Lime Crumble - 5.3 oz,,Core-Mark,4,1,2.02,8.08,,,,818290012272,2,USC,2897,14030,false,
Chobani Greek Yogurt - Strawberry - 5.3 oz,,Core-Mark,1,12,18.72,18.72,,,,894700010045,2,USC,1562,14030,false,
Clearblue Pregnancy Test - Early Detection - 1.0 count,,Core-Mark,4,1,4,16,,,,633472249631,2,USC,5125,14030,false,
Colgate Toothbrush - Extra Clean - 1.0 count,,Core-Mark,5,1,0.9,4.5,,,,035000551146,2,USC,419,14030,false,
Colgate Toothpaste - Total Whitening - 3.3 oz,,Core-Mark,3,1,5.91,17.73,,,,035000460462,2,USC,1827,14030,false,
Crystal Geyser - Water Bottle - 1.0 L,,Core-Mark,2,15,9.9,19.8,,,,075140005123,2,USC,3098,14030,false,
Cups - Aluminum - 10.0 count,,Core-Mark,1,10,54.2,54.2,,,,810052130002,2,USC,7420,14030,false,
Dannon Oikos Triple Zero - Vanilla  - 5.3 oz,,Core-Mark,3,1,2.03,6.09,,,,036632008343,2,USC,7245,14030,false,
Dayquil Severe + - Cold & Flu - 4.0 count,,Core-Mark,1,6,14.34,14.34,,,,366715970428,2,USC,2717,14030,false,
Duracell Batteries - Double A - 4.0 count,,Core-Mark,7,1,5.73,40.11,,,,041333415017,2,USC,354,14030,false,
Electrolit - Berry Bliss - 21.0 fl. oz,,Core-Mark,1,12,22.8,22.8,,,,887725001419,2,USC,3309,14030,false,
Electrolit - Orange - 21.0 fl. oz,,Core-Mark,1,12,22.8,22.8,,,,,2,USC,7207,14030,false,
Electrolit - Strawberry Kiwi - 21.0 fl. oz,,Core-Mark,1,12,21.72,21.72,,,,887725001402,2,USC,4100,14030,false,
Extra Gum - Peppermint - 15.0 count,,Core-Mark,1,10,10.6,10.6,,,,,2,USC,465,14030,false,
Extra Gum - Spearmint - 15.0 count,,Core-Mark,1,10,10.6,10.6,,,,022000008992,2,USC,476,14030,false,
Extra Gum - Winterfresh - 15.0 count,,Core-Mark,1,10,10.6,10.6,,,,022000008404,2,USC,7278,14030,false,
Ferrero Rocher Chocolate - Milk Hazelnut - 3.1 oz,,Core-Mark,1,8,20,20,,,,009800125104,2,USC,7826,14030,false,
Fiji Water - Original - 16.9 fl. oz,,Core-Mark,1,24,27.6,27.6,,,,632565000012,2,USC,56,14030,false,
Fiorucci Panino Prosciutto Wrap - Prosciutto & Mozzarella - 1.5 oz,,Core-Mark,1,8,14,14,,,,017869807008,2,USC,5343,14030,false,
Fruit Gushers - Super Sour Berry - 4.25 oz,,Core-Mark,3,8,14.32,42.96,,,,016000137042,2,USC,2495,14030,false,
Goldfish - Flavor Blasted Xtra Cheddar - 2.45 oz,,Core-Mark,1,18,22.14,22.14,,,,014100045557,2,USC,3425,14030,false,
Halo Top - Peanut Butter Cup - 16.0 oz,,Core-Mark,1,8,41.76,41.76,,,,858089003227,2,USC,1946,14030,false,
Haribo Goldbears - Sour - 4.5 oz,,Core-Mark,1,12,16.56,16.56,,,,042238312210,2,USC,3034,14030,false,
Haribo Peaches - Gummies - 5.0 oz,,Core-Mark,1,12,16.56,16.56,,,,042238380868,2,USC,1768,14030,false,
Haribo Sour S'ghetti - Sour Gummies - 5.0 oz,,Core-Mark,1,12,16.56,16.56,,,,042238358898,2,USC,1039,14030,false,
Hershey Kisses - Milk Chocolate - 4.84 oz,,Core-Mark,1,12,21.96,21.96,,,,034000134106,2,USC,3052,14030,false,
Hi Chew Candy - Sweet & Sour Mix - 3.17 oz,,Core-Mark,1,6,10.98,10.98,,,,851681008126,2,USC,1769,14030,false,
