product_name,name_ordered,supplier_name,total_packs_ordered,pack_size,pack_price,PO_cost,total_packs_received,receipt_pack_price,received_cost,upc,store_id,store_name,product_id,restock_order_id,is_out_of_stock,out_of_stock_reason
San Pellegrino Mineral Water - Sparkling - 16.9 fl. oz,S.PELLEGRINO WTR 24-LOOSE P,Core-Mark,1,24,29.28,29.28,,,,041508800082,2,USC,4256,14150,false,
Skittles - Sour - 1.8 oz,SKITTLES SOUR,Core-Mark,1,24,25.2,25.2,,,,040000002666,2,USC,176,14150,false,
Uncrustables - Peanut Butter & Grape Jelly - 2.0 oz,SMUCKERS UNCRUSTBL WHEAT GRAPE,Core-Mark,1,18,17.1,17.1,,,,051500069608,2,USC,216,14150,false,
Snyder's - Mini Pretzels - 3.5 oz,SNYDERS PRTZL MINIS,Core-Mark,1,8,7.44,7.44,,,,077975022313,2,USC,3195,14150,false,
Sour Patch Bag - Watermelon - 8.0 oz,SOUR PATCH KD WTRMLN PEG BAG,Core-Mark,1,12,24.36,24.36,,,,070462036008,2,USC,7866,14150,false,
"Sour Punch Bites - Assorted Flavors (Strawberry, Green Apple, Blue Raspberry) - 5.0 oz",SOUR PUNCH BITES HANGING BAG,Core-Mark,1,12,15.6,15.6,,,,041364087344,2,USC,4883,14150,false,
Stacy's Pita Chips - Parmesan Garlic & Herb - 3.0 oz,STACYS PITA CHIPS PARM/GRLC/HE,Core-Mark,1,6,7.86,7.86,,,,028400089548,2,USC,1783,14150,false,
Stacy's Pita Chips - Simply Naked - 3.0 oz,STACYS PITA CHIPS SIMPLY NAKED,Core-Mark,1,6,7.86,7.86,,,,028400093095,2,USC,3091,14150,false,
Stouffer's Mac & Cheese Bites - Cheddar Cheese - 14.0 oz,STOUF BITES MAC & CHEESE,Core-Mark,1,6,38.64,38.64,,,,013800472342,2,USC,7473,14150,false,
Lean Cuisine Alfredo Pasta - Chicken & Broccoli - 10.0 oz,STOUF LC PASTA ALFREDO/CHIX BR,Core-Mark,1,12,37.08,37.08,,,,013800174192,2,USC,7203,14150,false,
Stouffer's Macaroni & Cheese - Original - 12.0 oz,STOUF MAC&CHEESE,Core-Mark,1,12,37.2,37.2,,,,013800103406,2,USC,3192,14150,false,
Swedish Fish - Red - 5.0 oz,SWEDISH FISH RED,Core-Mark,1,12,24.36,24.36,,,,070462098679,2,USC,1830,14150,True,product_oss
Sweetarts Ropes - Twisted Rainbow Punch - 3.5 oz,SWEETARTS ROPE TWSTD RNBW SHR,Core-Mark,1,12,22.56,22.56,,,,079200362003,2,USC,2271,14150,false,
Tai Pei Fried Rice - Chicken - 11.0 oz,TAI PEI CHIX FRIED RICE,Core-Mark,1,6,18.54,18.54,,,,070077811298,2,USC,7192,14150,false,
Tampax Tampons - Super - 10.0 count,TAMPAX SUPER ABSORBENCY TAMPON,Core-Mark,3,1,2.58,7.74,,,,073010314092,2,USC,5770,14150,false,
Tgi Friday's Mozzarella Sticks W/ Marinara - Mozzarella - 11.0 oz,TGIF MOZZARELLA STKS W/MARANAR,Core-Mark,1,8,40.96,40.96,,,,046704068502,2,USC,2684,14150,false,
Trojan - Ultra Ribbed - 3.0 count,TROJAN CONDOM RIBBED,Core-Mark,7,1,2.07,14.49,,,,022600940500,2,USC,7024,14150,false,
Trojan Condom - Ultra Thin - 3.0 count,TROJAN CONDOM ULTRA-THIN LUBCR,Core-Mark,14,1,2.07,28.98,,,,022600926207,2,USC,3845,14150,false,
Trolli Sour Brite Crawlers - Original - 5.0 oz,TROLLI GUMMI SR BRITECRWLRS#12,Core-Mark,1,12,18.24,18.24,,,,020709012302,2,USC,210,14150,false,
Welch's Juicefuls - Island Splash - 4.0 oz,WELCHS JUICEFULS ISLAND SPLASH,Core-Mark,1,12,15.72,15.72,,,,034856040521,2,USC,7544,14150,false,
Arizona Iced Tea - Half Iced Tea & Half Mango - 22.0 oz,ZZFailed to buy,Core-Mark,0,24,0,0,,,,613008725853,2,USC,1074,14150,True,product_oss
Electrolit - Orange - 21.0 fl. oz,ZZZMissing UPC,Core-Mark,0,12,11.4,0,,,,,2,USC,7207,14150,false,
Extra Gum - Peppermint - 15.0 count,ZZZMissing UPC,Core-Mark,1,10,10.6,10.6,,,,,2,USC,465,14150,false,
Electrolit - Berry Bliss - 21.0 fl. oz,ZZZWrong UPC,Core-Mark,0,12,22.8,0,,,,887725001419,2,USC,3309,14150,false,
Electrolit - Strawberry Kiwi - 21.0 fl. oz,ZZZWrong UPC,Core-Mark,0,12,21.48,0,,,,887725001402,2,USC,4100,14150,false,
Jolly Rancher Gummies - Sour - 5 oz,ZZZWrong UPC,Core-Mark,1,12,23.16,23.16,,,,010700858351,2,USC,4586,14150,false,
Fiji Water - Original - 1.0 L,ZZZWrong UPC,Core-Mark,2,12,24.24,48.48,,,,632565000027,2,USC,7814,14150,false,
Haribo Sour S'ghetti - Sour Gummies - 5.0 oz,ZZZWrong UPC,Core-Mark,1,12,16.56,16.56,,,,042238723375,2,USC,1039,14150,false,
